Data set #1
8 73 86
2 58 88
8 69 89
8 59 90
5 49 91
8 34 92
9 23 93
1 18 94
6 60 95
8 7 96
8 87 97
8 3 98
6 37 99

Data set #17
9 57
5 60
2 61
8 92
1 14 15
6 19 20
6 22 28
3 17 31
7 12 34
0 3 36
6 33 38
8 21 39
5 1 40
8 6 41
9 4 42
3 26 43
3 16 46
6 24 49
1 48 51
2 50 54
0 5 56
5 0 63
6 44 64
8 58 65
1 18 66
4 67 68
9 9 70
2 69 73
1 47 74
0 29 75
8 35 76
6 11 78
8 30 79
5 25 80
8 10 81
8 45 82
8 77 83
6 23 84
2 71 85
5 8 86
2 32 87
1 27 88
6 2 89
8 62 90
5 13 91
1 59 93
1 72 94
9 55 95
1 52 96
5 53 97
8 37 98
0 7 99

Data set #18
1 7
2 22
3 39
7 82
3 2 3
7 1 12
5 17 19
5 16 34
0 29 36
8 5 40
0 14 45
9 25 47
5 35 50
3 31 51
3 23 53
3 6 54
5 42 55
9 58 59
8 24 61
4 15 62
3 9 63
6 49 64
1 8 65
4 56 66
7 30 68
5 28 70
1 44 71
4 21 72
2 33 73
2 67 74
0 13 75
7 18 76
0 11 77
5 0 79
0 43 80
6 27 81
2 37 83
9 69 84
6 46 85
3 52 87
8 48 88
3 86 89
3 4 90
3 10 91
8 78 92
1 41 93
4 38 94
4 57 95
4 60 96
5 32 97
5 20 98
5 26 99

Data set #19
5 11
8 17
6 19
3 61
7 3 7
8 2 16
2 20 22
8 6 24
2 26 27
8 30 31
5 1 37
2 34 40
9 5 42
8 4 44
3 8 45
8 32 49
3 33 50
3 9 53
8 28 55
3 29 57
3 18 60
5 36 62
3 13 63
5 35 66
8 15 67
8 25 68
6 51 71
1 58 73
8 10 74
4 59 75
9 41 77
8 23 78
5 0 79
3 52 80
2 14 81
2 70 82
6 72 83
5 56 84
2 69 85
2 65 86
9 46 87
8 64 88
0 43 89
2 38 90
3 54 91
1 21 92
2 48 93
5 12 94
3 47 95
7 96 97
3 76 98
1 39 99

Data set #20
1 35
6 99
6 6 7
0 20 23
7 0 27
9 12 30
7 22 31
1 10 36
9 16 41
8 17 42
9 13 44
6 33 45
0 51 53
1 37 56
4 50 57
7 32 58
0 46 59
9 14 63
1 21 64
9 15 65
5 19 66
7 18 67
6 60 68
9 3 69
6 8 70
8 29 71
6 47 72
2 26 73
8 28 74
8 34 75
6 5 76
8 1 77
9 38 80
9 61 81
7 48 82
5 40 83
2 2 84
7 55 85
5 78 86
1 11 87
9 4 88
4 43 89
1 62 90
8 9 91
8 24 92
3 39 93
1 49 94
8 79 95
1 52 96
3 54 97
8 25 98

Data set #21
6 4
8 23
4 33
2 40
3 53
9 58
0 63
7 98
1 16 19
1 22 27
3 24 28
4 15 32
3 12 35
6 11 41
5 3 42
9 26 43
6 37 44
4 14 45
6 18 46
6 7 48
1 30 49
6 38 51
1 31 56
6 25 59
6 34 61
2 5 65
5 55 66
0 47 67
6 8 68
1 60 69
7 9 71
6 50 73
1 72 74
1 0 75
9 6 77
1 62 78
3 20 80
7 54 81
5 76 82
1 10 83
4 84 85
6 64 86
5 57 87
8 13 88
1 29 89
4 79 90
2 36 91
6 52 92
6 17 93
5 2 94
1 70 95
6 21 96
2 1 97
1 39 99

Data set #22
7 39
0 40
4 75
1 91
6 5 18
9 1 20
6 22 24
6 19 25
4 16 26
3 11 32
4 27 33
6 17 37
6 35 38
0 29 42
4 2 44
2 12 47
5 6 48
5 36 50
3 10 51
0 15 52
4 46 54
3 41 56
9 14 57
6 4 60
6 23 61
5 45 62
2 7 65
6 21 66
4 34 68
6 58 69
0 3 70
3 59 71
0 28 72
1 55 74
6 67 76
4 31 78
5 73 79
1 43 80
4 13 81
0 8 82
6 30 83
6 64 87
1 53 88
5 77 89
6 63 90
2 49 92
2 84 93
2 85 94
7 86 95
0 0 96
4 9 97
7 98 99

Data set #23
4 28
9 47
5 0 12
1 11 22
4 18 32
1 8 34
2 20 35
1 10 40
6 5 41
4 23 43
4 14 45
2 17 48
5 9 49
2 21 51
4 44 52
4 6 54
3 29 55
9 39 56
3 25 57
2 4 59
1 2 61
5 53 63
9 1 64
5 58 66
3 7 69
3 26 71
6 33 73
8 16 75
5 50 76
8 27 77
1 38 78
2 62 79
9 3 80
4 15 81
2 42 82
6 36 83
4 70 84
7 19 85
8 68 86
4 46 87
1 30 89
4 60 90
9 37 91
5 24 92
1 88 93
5 72 94
3 31 95
4 65 96
4 13 97
9 67 98
4 74 99

Data set #24
4 30
8 45
9 68
2 69
5 74
7 81
1 20 21
1 10 22
3 3 24
6 2 25
6 16 26
1 19 28
4 6 29
0 7 35
4 17 36
0 0 40
9 18 42
1 33 47
8 38 48
1 34 50
0 43 56
0 55 57
2 51 58
4 49 59
9 46 60
7 44 62
8 15 64
9 8 66
9 11 71
5 63 72
9 4 76
0 31 77
1 65 78
1 53 79
2 67 80
7 23 82
5 54 83
0 37 84
4 41 85
9 1 86
1 39 87
6 13 88
8 12 89
0 73 90
9 27 91
1 75 92
3 70 93
4 9 94
9 5 95
6 32 96
3 14 97
1 52 98
9 61 99

Data set #25
2 46
6 55
9 60
5 71
8 75
0 76
9 8 10
4 6 15
4 11 18
7 19 22
9 2 30
6 24 31
8 9 34
8 28 36
1 0 38
0 39 42
5 41 49
4 21 50
0 32 51
7 12 52
0 33 53
3 20 54
9 40 56
0 17 57
6 3 61
0 4 62
6 59 65
9 66 67
0 37 68
4 48 69
3 26 70
6 7 74
5 43 77
2 45 78
6 64 79
6 23 80
5 27 81
2 47 82
9 72 84
7 16 85
4 83 86
1 35 87
8 58 88
0 44 90
3 29 91
0 89 92
1 63 93
2 13 94
5 5 95
9 25 96
4 73 97
0 14 98
5 1 99

Data set #26
0 49
1 83
5 3 7
7 5 11
0 1 14
9 0 20
9 19 30
5 28 35
0 24 36
1 17 38
9 6 39
2 23 40
9 25 41
2 31 42
2 16 43
8 18 47
9 27 48
7 44 50
4 46 51
7 32 52
5 9 54
9 33 55
7 53 56
0 26 57
9 22 58
0 15 59
3 34 60
2 10 61
4 37 65
2 64 66
6 13 68
0 21 72
8 29 73
9 8 77
5 70 80
1 76 81
0 4 84
0 62 85
3 69 86
3 2 87
1 45 88
9 74 90
2 75 91
2 63 92
8 67 93
9 79 94
3 12 95
4 71 96
3 89 97
7 82 98
8 78 99

Data set #27
8 15
4 88
7 2 5
5 6 11
8 19 32
6 3 34
5 29 35
5 27 39
3 0 42
8 13 45
7 16 46
2 9 47
7 26 48
6 21 49
7 17 53
6 40 54
6 1 55
2 38 56
9 4 59
4 28 61
0 37 62
5 51 64
6 14 68
1 22 69
6 25 71
6 70 72
2 31 73
6 43 74
7 58 75
8 24 76
2 20 77
7 66 78
8 63 79
5 7 80
5 50 81
3 52 82
6 65 84
3 57 85
4 8 86
5 41 87
6 44 89
8 30 90
6 12 91
6 33 92
8 60 93
6 83 94
7 36 95
6 67 96
6 18 97
6 10 98
2 23 99

Data set #28
8 57
4 61
3 73
1 77
0 4 15
5 13 21
8 20 26
1 0 27
3 2 29
1 3 30
5 35 37
1 22 38
0 24 40
2 23 42
2 36 43
4 6 45
6 14 46
1 10 48
7 47 49
1 39 50
1 19 52
7 1 53
4 34 54
5 41 55
1 25 58
5 18 59
2 17 66
2 64 67
1 56 69
9 33 70
2 5 72
5 71 76
7 11 78
8 7 79
0 12 80
1 68 81
9 31 82
5 60 83
7 28 84
7 63 85
7 9 86
0 65 88
7 51 89
5 16 90
5 8 91
2 75 92
7 32 93
1 62 94
5 44 95
7 87 96
4 97 98
5 74 99

Data set #29
6 19
1 25
8 31
9 57
4 71
7 79
6 6 11
4 10 13
1 29 30
5 2 34
6 15 35
6 8 38
1 18 39
1 22 44
6 45 48
9 16 49
6 17 51
3 4 52
6 3 53
7 41 54
8 21 55
2 28 56
4 12 59
7 0 62
6 61 63
5 23 64
7 1 66
4 26 68
7 7 69
1 40 70
6 32 72
6 36 73
6 46 74
7 50 76
4 20 78
3 37 81
8 60 82
7 47 83
7 80 84
7 65 85
2 77 86
6 14 88
6 5 89
7 58 90
7 43 91
0 75 92
6 87 93
8 9 94
0 33 95
6 67 96
9 27 97
7 24 98
8 42 99

Data set #30
5 26
9 32
0 56
6 68
7 0 4
8 1 11
4 7 13
6 12 16
6 2 23
3 15 28
6 27 33
7 6 37
7 5 39
9 41 42
9 35 46
7 20 47
2 43 53
9 52 54
0 48 55
6 44 58
6 40 61
9 25 62
5 31 63
1 9 64
1 36 66
3 57 67
9 24 69
6 14 71
9 38 73
8 51 74
6 22 75
7 19 76
1 30 77
5 18 78
4 59 79
0 60 80
3 17 81
8 50 82
6 29 85
3 45 86
9 70 87
3 65 88
9 84 89
1 34 90
0 3 92
9 83 93
0 91 94
3 49 95
1 21 96
3 8 97
5 10 98
6 72 99

Data set #31
9 25
5 36
6 40
4 63
1 81
2 89
1 1 2
1 7 11
9 17 21
8 10 23
6 5 29
2 0 32
7 35 38
8 13 44
9 22 45
2 4 46
8 3 48
9 37 49
2 6 52
2 34 53
5 31 54
5 47 57
2 43 59
8 55 61
8 62 64
0 24 65
5 51 66
5 33 68
5 20 69
6 50 70
8 27 71
5 39 72
3 15 73
2 16 74
1 41 76
8 19 77
8 60 78
8 14 79
7 42 83
8 82 84
1 75 85
5 58 86
2 56 87
5 18 88
2 9 90
3 30 91
9 26 92
2 28 94
5 80 95
0 12 96
2 67 97
2 93 98
2 8 99

Data set #32
6 3
8 18
1 4 11
6 2 21
5 14 24
6 25 29
3 13 30
8 1 34
8 32 41
9 37 42
6 36 43
6 33 44
7 27 46
3 6 47
2 10 48
4 40 49
6 39 52
6 9 53
6 7 54
1 31 55
9 50 56
7 35 61
2 19 62
3 28 63
6 38 64
3 0 66
6 5 68
3 12 70
6 58 71
3 57 72
6 45 74
3 73 75
4 17 76
6 8 77
2 59 78
2 23 79
3 20 80
1 67 82
2 65 83
4 69 84
6 26 85
9 81 86
9 88 89
3 15 90
6 51 91
6 87 92
2 22 93
6 16 95
6 96 97
7 60 98
0 94 99

Data set #33
3 7
4 19
2 42
7 87
9 5 13
7 15 22
1 6 29
9 26 31
2 1 33
9 16 39
1 34 41
0 9 46
1 10 48
9 47 49
9 14 50
0 25 51
7 38 52
9 8 53
7 30 55
6 18 56
0 35 57
2 17 58
9 37 59
7 0 60
7 11 61
3 45 62
1 3 64
4 2 66
8 69 70
7 28 71
1 4 72
1 21 73
1 24 75
0 63 76
3 44 77
2 65 79
6 36 80
1 27 83
7 68 84
7 78 85
4 81 86
1 32 88
5 67 89
7 54 90
9 74 92
5 82 93
0 43 94
9 12 95
0 23 96
6 40 97
7 20 98
6 91 99

Data set #34
2 17
6 94
9 11 21
6 2 24
4 28 29
3 10 31
8 4 32
9 12 36
2 15 41
2 13 43
8 38 47
1 48 51
2 40 56
5 42 57
9 52 58
5 22 59
8 26 60
8 35 62
7 45 64
9 7 66
7 46 67
0 6 68
8 9 69
2 16 70
4 19 72
2 0 73
2 71 74
4 50 75
1 37 76
4 55 77
7 23 78
2 34 79
2 27 80
7 30 81
2 20 82
5 49 83
7 3 84
3 8 85
0 53 86
1 25 87
4 1 88
4 5 89
6 63 90
3 33 91
4 18 92
8 39 93
6 54 95
9 44 96
2 65 97
8 14 98
2 61 99

Data set #35
0 40
3 54
6 83
2 87
2 2 7
2 1 16
0 11 34
4 20 35
4 0 39
2 28 42
4 5 44
5 17 47
9 45 49
5 14 50
8 9 51
4 31 52
5 38 55
4 48 56
7 57 58
2 43 60
9 30 61
2 27 62
5 24 63
4 15 64
5 36 65
7 4 66
6 13 70
5 6 71
4 68 73
8 23 74
4 46 75
0 18 76
5 67 77
4 22 79
1 59 80
2 26 81
4 53 82
7 33 84
9 21 85
8 32 86
4 3 88
9 72 89
8 29 90
3 78 91
4 37 92
5 12 93
3 10 94
9 25 95
7 69 96
1 41 97
0 19 98
7 8 99

Data set #36
7 29
6 33
9 57
2 70
7 3 4
5 6 9
7 1 23
3 0 31
6 19 36
1 8 39
3 15 40
5 38 42
9 26 45
3 16 46
8 27 50
5 43 51
3 13 52
1 20 53
8 37 55
3 18 58
7 35 61
7 30 62
1 41 63
1 11 64
5 17 65
7 7 66
9 21 67
2 10 68
7 28 71
6 44 72
2 12 73
6 14 74
4 5 75
6 54 77
8 56 78
2 76 80
9 49 82
5 60 83
9 69 84
5 47 85
7 48 87
0 34 88
8 79 90
6 81 91
3 86 92
9 25 93
8 22 94
9 2 95
9 32 96
2 59 97
1 89 98
8 24 99

Data set #37
7 10
3 18
8 27
4 41
0 46
2 95
6 21 26
6 0 29
6 25 30
2 24 32
8 20 34
2 8 36
1 2 40
4 17 42
3 4 43
2 3 44
2 23 45
0 7 50
2 37 51
3 31 54
7 52 57
2 48 59
6 6 60
6 47 61
9 12 62
7 15 63
8 16 64
2 58 66
4 28 67
6 35 69
2 53 70
5 55 72
3 13 73
4 38 74
4 5 75
2 19 76
3 49 77
2 1 80
2 71 81
0 14 82
7 9 83
2 78 84
7 11 85
0 56 86
4 79 89
2 88 90
3 65 91
2 68 92
7 39 93
6 33 94
2 22 96
0 97 98
3 87 99

Data set #38
3 4
1 27
7 39
2 54
8 57
6 84
9 85
4 91
5 0 13
9 5 20
7 14 25
8 8 26
7 29 30
3 23 31
1 11 32
8 19 33
4 16 35
7 18 38
3 36 40
6 34 42
0 10 45
9 1 48
3 41 49
6 3 51
3 46 53
8 58 60
9 59 61
1 22 62
8 12 63
7 21 64
4 50 65
1 66 68
9 9 69
9 28 70
4 55 75
9 76 77
9 52 79
7 72 80
3 47 81
3 56 82
1 6 83
1 44 86
3 78 87
7 37 88
1 71 89
9 17 90
3 43 92
7 73 93
9 15 94
9 74 95
1 24 96
2 2 97
9 7 98
7 67 99

Data set #39
5 23
2 29
7 59
8 86
1 0 5
0 6 13
1 25 26
7 1 30
2 22 32
2 18 41
8 36 43
9 39 45
2 16 48
1 11 49
5 37 50
9 4 51
4 2 52
0 47 54
4 9 55
5 8 56
4 31 57
6 58 61
0 46 63
1 33 65
6 53 67
5 66 68
2 27 69
1 42 70
8 40 71
2 73 74
7 60 75
2 20 76
7 12 77
7 24 78
0 44 80
7 3 81
0 62 83
5 17 84
1 14 85
8 28 87
5 15 88
4 21 89
9 82 90
5 10 91
2 72 92
2 38 93
1 35 94
7 7 95
0 79 96
1 19 97
1 34 98
4 64 99

Data set #40
5 15
0 32
3 41
9 52
6 59
4 85
4 9 20
9 1 22
6 7 26
6 14 31
1 24 36
5 37 42
7 27 44
9 18 45
9 39 46
7 10 47
5 19 48
1 25 53
3 13 54
2 21 56
7 29 57
9 17 58
5 3 60
9 5 62
8 61 63
7 40 65
5 64 68
1 67 69
8 50 70
6 23 71
9 49 72
7 28 73
0 66 74
7 6 75
3 51 76
1 35 77
2 16 80
0 4 81
4 79 82
2 33 83
2 12 84
9 78 86
9 87 88
2 34 89
0 43 90
6 2 92
0 0 93
2 8 94
9 91 95
3 11 96
6 55 97
9 30 98
8 38 99

Data set #41
9 11
4 23
6 42
5 69
2 1 16
3 5 27
1 12 28
6 3 30
8 2 38
9 6 39
5 8 40
5 31 43
6 29 44
4 19 47
1 22 53
5 41 54
6 52 55
9 32 56
9 25 57
1 14 58
8 46 59
4 9 60
9 34 61
3 33 62
3 4 65
8 50 66
7 26 67
9 24 68
6 45 70
9 36 71
7 49 73
7 18 75
1 20 76
6 21 78
2 13 79
7 72 80
2 74 82
9 7 83
5 63 84
7 48 86
2 81 87
5 0 88
0 37 89
9 15 90
5 64 91
7 17 93
6 51 94
9 77 95
9 35 96
4 10 97
4 85 98
6 92 99

Data set #42
6 23
1 58
0 68
3 92
6 1 5
4 8 9
5 4 20
9 17 21
6 22 26
9 16 34
0 7 35
2 18 38
9 15 42
1 27 48
7 49 50
1 36 51
9 31 53
8 33 54
8 0 55
4 30 56
8 10 59
2 47 60
8 25 62
8 43 64
7 39 65
6 13 66
2 2 69
9 37 70
9 24 71
5 29 72
2 45 73
2 67 75
4 44 76
2 11 78
5 6 79
2 40 80
9 41 81
7 74 83
7 12 84
2 63 85
1 19 86
6 3 87
9 57 88
9 77 89
2 46 90
6 82 91
4 28 93
5 14 95
6 61 96
2 94 97
3 32 98
2 52 99

Data set #43
2 30
9 31
6 33
3 53
4 0 24
5 6 25
5 16 29
6 17 36
3 15 37
4 4 38
5 41 46
8 39 47
6 10 50
9 7 51
3 34 52
8 40 55
7 1 57
9 56 58
2 23 59
9 20 61
9 22 62
3 14 64
1 26 65
9 12 66
3 27 68
9 67 69
9 9 70
9 28 71
9 32 73
4 11 74
4 44 75
6 60 76
5 19 77
4 21 78
2 54 80
6 42 81
5 13 82
0 35 83
7 72 84
9 18 85
3 79 86
0 48 87
4 45 88
6 3 91
3 49 92
9 89 93
2 43 94
4 63 95
5 90 96
9 5 97
2 2 98
6 8 99

Data set #44
7 75
2 77
6 4 8
9 10 11
3 0 15
9 14 19
3 16 21
3 24 28
6 27 35
4 25 37
6 40 41
7 17 42
7 29 49
1 22 52
4 32 53
6 51 54
1 45 55
7 7 56
7 20 58
0 2 59
7 46 62
1 34 63
2 48 64
3 30 65
9 33 66
2 3 67
0 23 68
0 5 69
2 12 70
8 36 72
3 6 74
9 38 78
0 73 79
2 71 80
5 39 81
8 57 83
6 18 84
4 82 85
6 61 86
5 9 87
7 50 88
9 31 89
2 76 90
2 60 91
5 1 92
7 13 93
2 43 94
8 47 96
3 95 97
3 26 98
9 44 99

Data set #45
2 17
8 45
4 0 15
7 1 25
9 13 36
3 11 39
7 38 41
8 6 42
9 12 47
3 35 48
2 46 49
7 34 50
2 23 51
3 22 53
2 29 54
2 8 55
9 9 57
8 24 59
8 40 60
6 21 61
0 14 62
3 52 64
7 5 68
2 32 69
7 33 71
7 28 72
2 30 73
7 44 74
4 26 75
5 65 77
8 67 78
4 43 79
4 19 80
2 7 81
2 76 83
7 18 84
8 16 85
7 10 86
8 3 87
4 58 88
5 56 89
8 82 90
9 4 91
3 70 92
3 31 93
4 37 94
8 66 95
8 2 96
3 27 97
