Data set #1
9 186 206

Data set #56
0 67 277
1 66 229
2 150 49
3 24 215
4 178 205
5 67 90
6 75 101
7 100 37
8 25 226
9 183 295

Data set #57
0 185 266
1 164 295
2 78 149
3 70 136
4 68 117
5 161 276
6 39 277
7 42 262
8 66 180
9 138 19

Data set #58
0 177 6
1 161 241
2 157 245
3 93 137
4 138 26
5 99 139
6 186 183
7 156 94
8 101 77
9 163 3

Data set #59
0 46 243
1 96 242
2 34 26
3 26 170
4 28 5
5 81 247
6 189 5
7 68 231
8 139 277
9 188 6

Data set #60
0 139 279
1 182 224
2 158 12
3 26 90
4 199 57
5 144 91
6 29 45
7 113 81
8 149 6
9 26 40

Data set #61
0 47 45
1 177 259
2 45 28
3 113 18
4 187 103
5 17 263
6 112 71
7 156 41
8 175 276
9 23 67

Data set #62
0 184 71
1 32 16
2 149 46
3 4 5
4 119 148
5 183 41
6 155 256
7 161 4
8 70 73
9 74 170

Data set #63
0 170 168
1 42 249
2 89 185
3 198 54
4 163 108
5 109 168
6 160 104
7 4 72
8 6 163
9 55 8

Data set #64
0 109 130
1 167 166
2 102 102
3 107 262
4 123 53
5 121 151
6 4 136
7 152 139
8 178 286
9 58 23

Data set #65
0 136 176
1 144 287
2 100 164
3 58 278
4 88 21
5 196 113
6 109 22
7 39 116
8 159 277
9 193 249

Data set #66
0 137 99
1 190 29
2 175 120
3 4 157
4 181 55
5 34 210
6 46 130
7 104 129
8 51 237
9 120 275

Data set #67
0 131 147
1 13 169
2 198 181
3 54 221
4 41 202
5 47 44
6 167 141
7 159 201
8 127 24
9 66 285

Data set #68
0 147 49
1 145 194
2 93 40
3 62 245
4 117 277
5 174 187
6 75 293
7 57 171
8 42 200
9 178 125

Data set #69
0 84 236
1 61 126
2 123 164
3 50 289
4 126 177
5 59 74
6 164 145
7 183 117
8 27 142
9 139 19

Data set #70
0 159 185
1 87 110
2 144 101
3 57 115
4 99 266
5 23 74
6 161 291
7 74 109
8 105 18
9 32 33

Data set #71
0 35 102
1 39 212
2 170 156
3 31 63
4 102 160
5 34 291
6 118 198
7 187 267
8 77 10
9 133 12

Data set #72
0 116 44
1 126 254
2 19 190
3 52 221
4 73 1
5 195 204
6 193 282
7 156 43
8 166 61
9 156 277

Data set #73
0 59 231
1 19 295
2 145 161
3 33 169
4 147 85
5 183 101
6 118 42
7 197 113
8 9 284
9 0 121

Data set #74
0 96 28
1 135 108
2 114 58
3 59 152
4 174 83
5 198 117
6 9 187
7 45 43
8 39 235
9 162 179

Data set #75
0 56 215
1 171 85
2 30 110
3 180 39
4 187 265
5 7 137
6 188 184
7 149 42
8 29 32
9 127 206

Data set #76
0 158 14
1 117 197
2 75 18
3 74 103
4 195 109
5 105 162
6 192 99
7 28 113
8 168 102
9 101 191

Data set #77
0 131 146
1 200 184
2 28 165
3 30 291
4 45 180
5 48 41
6 51 54
7 140 27
8 30 48
9 159 198

Data set #78
0 183 290
1 132 165
2 88 32
3 3 292
4 132 142
5 146 212
6 143 80
7 117 171
8 148 104
9 30 113

Data set #79
0 71 71
1 111 196
2 120 103
3 61 181
4 79 141
5 85 115
6 120 64
7 49 1
8 147 118
9 113 119

Data set #80
0 56 81
1 188 234
2 166 46
3 178 285
4 10 244
5 133 217
6 68 104
7 60 168
8 93 215
9 199 119

Data set #81
0 175 67
1 116 72
2 99 189
3 69 126
4 59 77
5 129 275
6 114 237
7 197 261
8 27 227
9 191 55

Data set #82
0 78 224
1 132 134
2 198 24
3 84 26
4 131 127
5 12 240
6 139 224
7 22 241
8 119 128
9 54 179

Data set #83
0 184 35
1 103 36
2 175 251
3 109 192
4 199 82
5 98 72
6 48 137
7 48 54
8 143 60
9 55 125

Data set #84
0 37 263
1 200 251
2 146 55
3 139 128
4 40 203
5 25 33
6 41 207
7 81 73
8 87 147
9 157 42

Data set #85
0 127 180
1 40 132
2 7 39
3 180 273
4 62 75
5 167 234
6 12 79
7 131 270
8 32 264
9 108 165

Data set #86
0 100 268
1 123 275
2 147 97
3 25 272
4 153 237
5 77 123
6 34 292
7 45 98
8 139 198
9 123 180

Data set #87
0 76 195
1 125 20
2 50 0
3 128 64
4 60 33
5 20 121
6 77 142
7 21 149
8 191 218
9 99 55

Data set #88
0 107 0
1 184 246
2 57 55
3 29 184
4 111 23
5 74 206
6 138 227
7 117 299
8 99 44
9 91 137

Data set #89
0 132 40
1 150 168
2 26 20
3 88 196
4 187 256
5 105 147
6 69 297
7 130 240
8 147 146
9 138 66

Data set #90
0 136 220
1 199 134
2 91 229
3 14 224
4 132 181
5 105 9
6 8 214
7 149 236
8 180 205
9 197 56

Data set #91
0 61 283
1 199 41
2 112 224
3 176 245
4 72 233
5 91 71
6 131 72
7 91 201
8 80 221
9 169 41

Data set #92
0 187 135
1 13 262
2 13 91
3 183 257
4 143 271
5 118 257
6 1 35
7 42 133
8 129 76
9 37 85

Data set #93
0 124 222
1 3 170
2 194 291
3 11 11
4 173 120
5 159 47
6 51 145
7 33 150
8 12 3
9 111 248

Data set #94
0 74 121
1 131 12
2 143 41
3 49 158
4 54 203
5 7 76
6 100 173
7 13 107
8 48 75
9 11 21

Data set #95
0 16 207
1 193 283
2 130 91
3 176 197
4 162 56
5 67 92
6 16 59
7 14 245
8 93 106
9 158 52

Data set #96
0 193 38
1 185 18
2 181 21
3 105 98
4 106 170
5 14 194
6 38 95
7 129 54
8 93 289
9 138 48

Data set #97
0 121 183
1 93 42
2 175 119
3 156 37
4 153 199
5 196 183
6 105 194
7 20 204
8 113 49
9 197 18

Data set #98
0 109 126
1 163 241
2 178 162
3 53 3
4 63 167
5 112 191
6 189 280
7 87 275
8 48 212
9 49 59

Data set #99
0 194 11
1 3 168
2 192 73
3 61 58
4 75 63
5 181 148
6 15 160
7 176 120
8 6 135
9 69 178

Data set #100
0 1 144
1 140 250
2 15 120
3 82 161
4 32 283
5 83 116
6 16 13
7 55 59
8 89 97
9 33 209

