Data set #1
54 101 116
55 180 195
56 27 36
57 39 124
58 183 128
59 51 17
60 93 58
61 64 194
62 132 184
63 193 132
64 117 157
65 130 160
66 171 36
67 122 108
68 56 116
69 141 282
70 32 200
71 6 189
72 140 245
73 150 166
74 167 280
75 171 25
76 123 178
77 159 42
78 92 218
79 79 209
80 37 58
81 40 151
82 124 237
83 63 5
84 132 190
85 85 258
86 109 281
87 72 120
88 13 194
89 33 124
90 106 52
91 199 247
92 124 236
93 96 94
94 76 236
95 9 97
96 189 154
97 29 227
98 88 297
99 118 132

Data set #5
0 141 48
1 113 62
2 90 179
3 19 229
4 30 280
5 59 207
6 39 89
7 115 2
8 0 170
9 181 282
10 3 127
11 158 62
12 138 211
13 62 147
14 148 180
15 140 67
16 53 81
17 149 131
18 92 182
19 113 212
20 101 298
21 20 267
22 118 106
23 74 277
24 134 56
25 16 67
26 161 15
27 124 172
28 119 187
29 7 213
30 102 22
31 161 224
32 17 249
33 82 277
34 56 30
35 48 97
36 196 135
37 193 25
38 51 222
39 89 32
40 108 175
41 124 170
42 7 43
43 46 227
44 18 3
45 9 157
46 113 211
47 9 81
48 108 109
49 105 129
50 95 282
51 13 60
52 147 18
53 90 297
54 129 81
55 13 43
56 181 104
57 22 247
58 70 287
59 186 137
60 107 1
61 65 21
62 58 76
63 123 28
64 156 81
65 192 240
66 3 253
67 78 5
68 5 138
69 9 59
70 199 110
71 187 257
72 51 119
73 164 45
74 89 105
75 179 61
76 156 256
77 104 33
78 173 55
79 53 44
80 118 300
81 59 72
82 67 189
83 43 128
84 12 49
85 57 240
86 124 70
87 152 202
88 45 138
89 119 275
90 114 86
91 117 186
92 61 241
93 26 139
94 33 240
95 168 29
96 10 117
97 97 242
98 189 203
99 91 81

Data set #6
0 147 7
1 22 220
2 125 183
3 7 137
4 61 79
5 144 42
6 100 48
7 112 196
8 56 238
9 167 80
10 39 226
11 1 294
12 21 297
13 47 150
14 103 66
15 37 96
16 60 19
17 96 209
18 42 67
19 47 70
20 74 63
21 62 199
22 140 222
23 76 145
24 89 255
25 147 96
26 165 120
27 113 92
28 55 226
29 101 253
30 61 109
31 82 102
32 62 257
33 48 210
34 109 149
35 199 276
36 83 67
37 190 134
38 151 110
39 139 82
40 7 209
41 167 255
42 180 241
43 75 44
44 185 144
45 198 89
46 104 239
47 114 54
48 18 198
49 12 210
50 132 41
51 57 146
52 37 214
53 40 118
54 158 249
55 200 117
56 17 46
57 120 154
58 120 265
59 139 54
60 49 300
61 129 79
62 109 190
63 110 55
64 129 64
65 96 173
66 186 187
67 160 219
68 173 57
69 26 182
70 97 281
71 100 24
72 93 291
73 83 56
74 69 166
75 149 242
76 37 229
77 131 227
78 149 192
79 186 2
80 117 140
81 68 202
82 110 158
83 138 98
84 29 176
85 92 235
86 170 81
87 14 231
88 63 133
89 112 129
90 182 198
91 157 231
92 0 10
93 120 273
94 37 213
95 67 238
96 128 4
97 28 167
98 157 173
99 98 288

Data set #7
0 76 210
1 82 73
2 18 273
3 128 112
4 199 163
5 42 133
6 30 154
7 173 24
8 12 259
9 197 143
10 21 288
11 31 271
12 76 149
13 94 193
14 84 231
15 181 155
16 58 122
17 113 264
18 166 123
19 128 299
20 197 196
21 47 234
22 29 152
23 154 5
24 97 78
25 53 121
26 54 163
27 182 138
28 66 256
29 76 283
30 52 46
31 77 190
32 80 85
33 103 27
34 45 180
35 191 238
36 114 97
37 77 222
38 94 53
39 28 153
40 170 290
41 79 192
42 29 40
43 161 73
44 70 265
45 168 82
46 46 15
47 166 215
48 152 2
49 105 287
50 126 83
51 73 72
52 125 4
53 70 76
54 151 18
55 38 138
56 88 143
57 49 285
58 165 135
59 91 170
60 53 89
61 183 294
62 26 113
63 99 176
64 95 9
65 72 121
66 124 143
67 95 286
68 93 247
69 58 200
70 73 282
71 148 2
72 76 95
73 129 2
74 19 150
75 182 44
76 200 160
77 75 35
78 69 250
79 99 212
80 52 52
81 1 135
82 72 295
83 197 198
84 125 206
85 129 240
86 82 83
87 41 263
88 114 202
89 91 214
90 124 88
91 197 270
92 5 194
93 103 3
94 144 124
95 157 80
96 11 230
97 158 247
98 19 67
99 19 184

Data set #8
0 135 18
1 65 219
2 74 32
3 41 188
4 12 142
5 193 265
6 62 19
7 197 215
8 77 266
9 102 291
10 125 203
11 148 60
12 101 55
13 149 108
14 104 11
15 164 132
16 49 4
17 60 271
18 111 56
19 102 199
20 159 110
21 149 72
22 71 239
23 98 121
24 38 102
25 123 178
26 191 119
27 33 210
28 136 182
29 38 155
30 49 98
31 1 18
32 160 39
33 28 31
34 34 300
35 106 149
36 107 283
37 159 282
38 107 10
39 184 120
40 42 234
41 103 283
42 38 7
43 171 177
44 102 296
45 34 263
46 43 54
47 52 236
48 45 27
49 110 257
50 35 233
51 84 38
52 92 45
53 21 195
54 70 198
55 30 263
56 96 286
57 150 203
58 2 179
59 108 44
60 64 24
61 60 288
62 130 132
63 159 132
64 170 153
65 65 198
66 131 288
67 111 226
68 128 115
69 53 135
70 111 80
71 14 44
72 172 104
73 41 37
74 144 179
75 59 178
76 189 192
77 160 95
78 68 80
79 109 12
80 81 273
81 141 243
82 166 111
83 110 100
84 196 109
85 57 169
86 167 175
87 17 212
88 51 90
89 100 296
90 6 36
91 21 216
92 157 70
93 54 191
94 87 254
95 32 112
96 101 26
97 155 261
98 40 240
99 171 220

Data set #9
0 16 297
1 150 154
2 63 9
3 182 71
4 36 252
5 111 258
6 163 202
7 23 25
8 148 284
9 71 43
10 107 252
11 116 263
12 185 95
13 148 266
14 154 164
15 139 68
16 27 151
17 31 247
18 24 146
19 95 213
20 163 189
21 149 262
22 108 92
23 157 192
24 92 78
25 127 192
26 57 200
27 13 134
28 118 111
29 61 57
30 16 28
31 30 115
32 66 153
33 48 97
34 184 106
35 75 80
36 170 51
37 197 33
38 150 285
39 144 35
40 26 190
41 102 196
42 62 36
43 11 157
44 125 42
45 37 133
46 124 25
47 164 90
48 86 179
49 183 64
50 181 98
51 60 172
52 188 149
53 123 280
54 191 170
55 127 226
56 73 216
57 92 244
58 104 260
59 4 137
60 81 89
61 178 96
62 168 127
63 118 181
64 126 168
65 58 154
66 42 129
67 152 161
68 185 45
69 95 271
70 4 286
71 38 29
72 41 228
73 196 250
74 28 180
75 90 81
76 113 60
77 97 75
78 181 94
79 18 290
80 2 276
81 111 287
82 96 34
83 33 207
84 127 211
85 73 265
86 27 273
87 124 140
88 20 255
89 72 293
90 28 294
91 50 160
92 68 180
93 70 299
94 15 289
95 134 258
96 179 273
97 96 268
98 175 161
99 38 267

Data set #10
0 182 64
1 160 123
2 186 76
3 7 119
4 53 113
5 52 44
6 54 141
7 168 250
8 86 58
9 82 27
10 183 195
11 119 55
12 91 200
13 86 148
14 123 257
15 159 89
16 139 298
17 126 158
18 182 300
19 2 224
20 26 137
21 177 13
22 130 46
23 142 87
24 16 16
25 7 231
26 179 61
27 116 162
28 1 15
29 165 140
30 178 171
31 65 176
32 34 9
33 44 236
34 177 231
35 19 210
36 18 202
37 24 25
38 62 81
39 151 140
40 149 174
41 44 179
42 24 167
43 176 220
44 112 10
45 30 147
46 32 19
47 114 11
48 148 7
49 97 56
50 198 248
51 113 294
52 83 12
53 7 18
54 73 102
55 136 192
56 98 277
57 9 274
58 26 202
59 70 248
60 169 245
61 133 90
62 188 297
63 151 55
64 168 212
65 49 206
66 178 185
67 143 4
68 186 184
69 48 207
70 87 288
71 117 291
72 57 263
73 25 287
74 17 207
75 19 117
76 48 120
77 123 221
78 33 58
79 114 56
80 69 25
81 16 11
82 127 25
83 189 251
84 96 89
85 184 28
86 40 74
87 192 189
88 101 148
89 89 237
90 117 210
91 87 244
92 7 264
93 77 247
94 104 234
95 50 244
96 31 293
97 15 19
98 68 73
99 166 78

Data set #11
0 30 14
1 59 251
2 129 35
3 57 20
4 152 275
5 186 189
6 29 21
7 130 192
8 166 154
9 133 235
10 74 27
11 106 156
12 195 266
13 99 169
14 51 208
15 138 175
16 176 0
17 58 160
18 122 154
19 199 22
20 106 200
21 51 143
22 4 40
23 173 197
24 47 229
25 31 78
26 6 200
27 141 252
28 26 256
29 20 296
30 72 237
31 154 1
32 166 161
33 51 161
34 177 79
35 58 38
36 157 126
37 121 300
38 9 219
39 81 277
40 50 14
41 166 56
42 80 112
43 52 169
44 146 16
45 46 84
46 95 271
47 116 101
48 8 200
49 116 25
50 150 167
51 87 227
52 56 69
53 18 90
54 1 267
55 200 27
56 130 227
57 21 294
58 132 7
59 37 271
60 160 272
61 77 37
62 34 81
63 173 235
64 151 93
65 25 282
66 99 201
67 3 96
68 39 18
69 193 255
70 182 67
71 58 200
72 88 167
73 110 148
74 73 299
75 184 51
76 13 106
77 32 242
78 123 164
79 149 263
80 136 159
81 96 266
82 20 25
83 35 8
84 175 19
85 67 245
86 118 297
87 110 274
88 28 55
89 134 195
90 129 53
91 133 286
92 148 156
93 23 121
94 70 35
95 199 11
96 133 120
97 115 99
98 128 214
99 13 195

Data set #12
0 24 249
1 160 237
2 104 111
3 80 24
4 190 220
5 197 23
6 165 163
7 167 34
8 192 269
9 99 154
10 180 219
11 72 76
12 197 161
13 197 68
14 174 217
15 169 0
16 169 234
17 118 198
18 158 35
19 175 35
20 0 290
21 74 129
22 76 233
23 190 23
24 175 202
25 52 272
26 62 124
27 146 280
28 8 30
29 129 280
30 107 191
31 191 135
32 152 208
33 157 245
34 187 112
35 19 112
36 97 29
37 66 165
38 14 107
39 102 162
40 2 195
41 133 178
42 159 153
43 129 147
44 80 216
45 188 137
46 4 194
47 58 161
48 182 87
49 156 48
50 112 2
51 52 48
52 13 86
53 45 189
54 169 161
55 81 126
56 78 218
57 66 145
58 174 69
59 156 214
60 148 108
61 131 270
62 185 112
63 4 66
64 178 24
65 19 169
66 125 11
67 185 127
68 11 101
69 51 137
70 144 50
71 32 81
72 14 186
73 145 255
74 48 153
75 70 132
76 149 3
77 85 17
78 9 201
79 152 28
80 178 29
81 137 133
82 133 175
83 64 192
84 14 54
85 147 142
86 41 252
87 150 157
88 155 115
89 94 190
90 71 91
91 189 298
92 188 288
93 33 44
94 157 273
95 178 294
96 55 62
97 71 284
98 73 41
99 194 175

Data set #13
0 160 116
1 169 18
2 71 142
3 3 96
4 194 10
5 25 70
6 80 181
7 159 167
8 174 156
9 128 174
10 60 130
11 29 45
12 146 88
13 71 88
14 124 262
15 74 168
16 66 2
17 124 238
18 195 190
19 58 174
20 194 78
21 85 293
22 132 194
23 73 156
24 20 287
25 70 265
26 36 143
27 7 147
28 133 152
29 19 283
30 117 20
31 98 162
32 161 159
33 131 221
34 61 105
35 51 254
36 59 204
37 17 201
38 42 218
39 150 63
40 180 138
41 110 246
42 164 194
43 2 41
44 144 188
45 46 239
46 143 176
47 86 289
48 177 75
49 179 237
50 3 88
51 97 246
52 129 110
53 143 189
54 65 164
55 38 97
56 31 244
57 77 204
58 66 123
59 165 187
60 68 90
61 145 275
62 143 2
63 173 12
64 48 180
65 55 295
66 199 265
67 104 193
68 177 277
69 161 298
70 28 93
71 57 266
72 63 166
73 62 213
74 59 263
75 180 121
76 110 239
77 24 191
78 77 209
79 123 142
80 116 140
81 199 109
82 197 83
83 155 147
84 111 46
85 20 139
86 31 103
87 75 23
88 127 223
89 188 239
90 127 300
91 147 227
92 97 117
93 52 103
94 176 222
95 143 83
96 124 95
97 89 154
98 1 12
99 149 85

Data set #14
0 177 39
1 96 35
2 2 286
3 121 141
4 192 21
5 169 121
6 190 103
7 114 264
8 143 15
9 33 160
10 154 244
11 121 213
12 197 98
13 70 109
14 101 81
15 35 287
16 118 70
17 28 72
18 97 138
19 170 225
20 12 15
21 82 190
22 7 218
23 53 106
24 49 95
25 102 13
26 183 281
27 154 14
28 86 206
29 172 235
30 37 249
31 78 16
32 128 182
33 33 192
34 136 75
35 23 137
36 174 267
37 3 114
38 2 283
39 42 17
40 102 285
41 55 279
42 187 283
43 62 117
44 138 109
45 139 142
46 151 18
47 85 177
48 81 65
49 143 144
50 86 225
51 155 227
52 138 152
53 65 147
54 71 1
55 75 148
56 133 145
57 162 295
58 89 7
59 11 30
60 126 283
61 25 88
62 24 296
63 88 130
64 14 72
65 130 186
66 102 233
67 162 140
68 107 66
69 127 129
70 62 197
71 43 124
72 34 102
73 151 249
74 190 219
75 6 23
76 158 121
77 196 134
78 98 35
79 75 238
80 18 221
81 104 122
82 158 263
83 41 264
84 23 268
85 30 1
86 19 10
87 59 55
88 138 80
89 123 135
90 26 260
91 94 214
92 79 16
93 102 8
94 105 187
95 186 55
96 178 221
97 124 29
98 93 156
99 15 233

Data set #15
0 142 268
1 96 110
2 66 188
3 41 61
4 160 54
5 61 89
6 50 113
7 149 41
8 67 240
9 18 36
10 33 296
11 71 169
12 57 284
13 148 253
14 70 221
15 135 147
16 89 144
17 56 47
18 101 282
19 118 20
20 164 288
21 191 253
22 103 32
23 99 87
24 165 260
25 174 232
26 127 136
27 109 234
28 77 287
29 182 19
30 45 66
31 3 288
32 121 150
33 169 230
34 77 4
35 88 224
36 171 240
37 124 48
38 24 110
39 145 178
40 55 17
41 184 277
42 84 138
43 177 1
44 142 30
45 118 200
46 42 242
47 94 143
48 15 287
49 116 296
50 19 44
51 129 267
52 77 6
53 38 188
54 115 242
55 64 247
56 186 116
57 69 245
58 33 230
59 106 70
60 72 16
61 159 40
62 18 219
63 162 26
64 85 178
65 102 25
66 46 98
67 32 256
68 157 83
69 121 234
70 157 35
71 155 20
72 100 216
73 13 42
74 179 285
75 152 200
76 146 94
77 62 146
78 53 49
79 121 122
80 0 57
81 96 59
82 45 255
83 165 74
84 152 15
85 192 57
86 167 153
87 56 75
88 90 58
89 132 152
90 23 23
91 167 155
92 63 88
93 63 179
94 182 27
95 66 298
96 147 17
97 130 265
98 60 251
99 95 167

Data set #16
0 139 85
1 55 185
2 84 293
3 21 283
4 130 56
5 2 283
6 113 14
7 76 274
8 136 115
9 196 86
10 197 177
11 171 190
12 95 187
13 48 33
14 134 93
15 151 199
16 15 207
17 113 25
18 20 37
19 112 206
20 8 215
21 136 42
22 149 170
23 160 276
24 37 107
25 78 292
26 142 251
27 65 115
28 182 101
29 171 115
30 177 243
31 197 162
32 2 219
33 142 28
34 105 235
35 132 6
36 90 72
37 181 46
38 37 94
39 41 54
40 89 126
41 24 87
42 65 105
43 74 181
44 171 100
45 72 163
46 62 270
47 34 232
48 187 137
49 35 143
50 119 148
51 77 124
52 13 86
53 66 275
54 129 252
55 182 164
56 32 185
57 130 41
58 53 65
59 59 270
60 177 22
61 125 210
62 101 122
63 18 50
64 73 19
65 119 246
66 144 34
67 102 146
68 33 61
69 50 236
70 6 272
71 78 78
72 118 243
73 97 271
74 133 90
75 165 146
76 108 188
77 83 96
78 93 114
79 76 92
80 198 300
81 73 220
82 192 288
83 97 148
84 33 22
85 39 17
86 115 299
87 118 260
88 71 56
89 60 260
90 54 275
91 35 168
92 115 236
93 178 289
94 28 49
95 168 4
96 74 264
97 120 262
98 47 300
99 151 28

Data set #17
0 46 42
1 80 63
2 99 239
3 149 156
4 196 138
5 108 121
6 143 224
7 190 161
8 113 24
9 161 80
10 181 280
11 74 273
12 93 101
13 97 15
14 38 153
15 43 165
16 152 52
17 132 88
18 57 147
19 85 255
20 80 252
21 139 210
22 8 284
23 71 236
24 24 282
25 28 28
26 121 88
27 9 157
28 60 299
29 154 179
30 151 273
31 139 112
32 7 121
33 2 251
34 106 115
35 138 294
36 171 147
37 191 261
38 41 259
39 143 210
40 91 40
41 141 222
42 195 134
43 113 98
44 21 300
45 117 215
46 142 55
47 14 226
48 57 214
49 24 267
50 2 9
51 47 216
52 81 187
53 89 8
54 22 43
55 154 36
56 112 127
57 193 57
58 155 212
59 101 204
60 11 13
61 60 92
62 118 266
63 58 58
64 33 295
65 176 200
66 41 142
67 69 136
68 81 133
69 28 89
70 175 84
71 88 84
72 54 171
73 31 107
74 28 215
75 157 164
76 146 292
77 128 238
78 80 286
79 150 289
80 20 21
81 188 294
82 127 213
83 123 235
84 69 248
85 91 78
86 138 12
87 25 118
88 28 144
89 98 236
90 140 247
91 93 7
92 116 292
93 106 198
94 47 181
95 177 9
96 92 213
97 65 7
98 184 275
99 190 179

Data set #18
0 137 256
1 38 218
2 3 55
3 6 39
4 74 12
5 26 175
6 139 5
7 59 251
8 71 234
9 102 23
10 67 68
11 104 190
12 40 209
13 96 176
14 155 104
15 151 85
16 93 250
17 111 224
18 24 228
19 107 239
20 113 230
21 156 81
22 187 146
23 107 56
24 5 119
25 179 261
26 154 288
27 31 91
28 104 215
29 163 151
30 28 256
31 13 70
32 105 260
33 191 73
34 88 241
35 124 293
36 152 146
37 194 130
38 140 104
39 110 10
40 26 178
41 15 272
42 183 294
43 75 145
44 73 257
45 145 122
46 81 122
47 193 261
48 61 169
49 59 128
50 109 279
51 15 68
52 159 11
53 84 44
54 149 11
55 168 288
56 101 99
57 189 10
58 185 276
59 185 276
60 154 52
61 6 112
62 152 77
63 126 32
64 55 145
65 70 254
66 121 96
67 170 172
68 30 254
69 169 230
70 111 209
71 75 259
72 171 86
73 198 90
74 165 165
75 104 194
76 42 211
77 117 194
78 23 193
79 158 260
80 101 146
81 35 93
82 38 244
83 178 122
84 170 232
85 55 112
86 7 1
87 155 17
88 66 181
89 36 7
90 53 28
91 66 60
92 12 185
93 34 288
94 137 101
95 161 31
96 163 47
97 108 256
98 100 268
99 154 284

Data set #19
0 159 38
1 126 42
2 35 159
3 179 58
4 33 37
5 194 33
6 66 82
7 157 69
8 143 149
9 124 186
10 51 34
11 81 42
12 76 14
13 187 206
14 144 234
15 60 72
16 14 145
17 33 153
18 195 236
19 40 226
20 79 237
21 199 133
22 83 247
23 3 63
24 81 56
25 88 143
26 67 220
27 81 209
28 47 154
29 115 174
30 53 171
31 47 180
32 24 54
33 150 200
34 71 271
35 115 32
36 161 56
37 129 31
38 63 232
39 189 134
40 68 281
41 148 15
42 183 31
43 20 242
44 33 38
45 143 150
46 168 12
47 157 164
48 137 280
49 20 35
50 147 178
51 32 280
52 96 105
53 123 193
54 160 225
55 49 146
56 73 1
57 95 174
58 137 96
59 65 199
60 198 241
61 183 209
62 167 53
63 193 228
64 18 119
65 199 292
66 109 48
67 82 94
68 88 155
69 164 279
70 100 262
71 33 297
72 20 260
73 122 75
74 42 51
75 35 201
76 106 158
77 134 8
78 5 88
79 141 57
80 102 122
81 157 249
82 113 226
83 14 277
84 68 0
85 177 253
86 180 280
87 191 14
88 40 112
89 3 247
90 68 235
91 170 214
92 195 123
93 121 279
94 75 12
95 175 156
96 192 78
97 196 61
98 119 155
99 174 133

Data set #20
0 83 83
1 71 130
2 11 44
3 62 213
4 47 182
5 191 217
6 198 184
7 199 206
8 165 185
9 76 186
10 132 54
11 150 52
12 33 166
13 67 286
14 5 217
15 37 246
16 14 197
17 105 110
18 87 58
19 88 245
20 100 40
21 178 87
22 11 111
23 120 35
24 138 154
25 175 140
26 25 21
27 101 78
28 99 120
29 64 168
30 29 162
31 30 114
32 27 83
33 173 169
34 78 156
35 185 23
36 123 66
37 184 35
38 11 146
39 177 253
40 81 274
41 17 189
42 125 108
43 154 266
44 60 278
45 176 182
46 89 17
47 158 233
48 46 94
49 187 111
50 168 274
51 90 37
52 175 73
53 86 45
54 184 261
55 36 93
56 168 63
57 165 273
58 31 80
59 84 3
60 190 164
61 50 235
62 198 133
63 9 208
64 187 79
65 12 253
66 77 243
67 55 49
68 191 145
69 69 194
70 158 183
71 66 158
72 161 211
73 49 30
74 95 121
75 98 151
76 187 227
77 92 116
78 100 287
79 139 160
80 10 170
81 55 248
82 61 104
83 69 279
84 2 52
85 30 101
86 117 286
87 167 56
88 29 190
89 161 260
90 191 132
91 105 185
92 122 156
93 179 260
94 193 123
95 143 159
96 180 73
97 190 271
98 165 147
99 170 158

Data set #21
0 143 277
1 35 229
2 124 111
3 113 133
4 112 74
5 2 133
6 196 14
7 111 23
8 42 7
9 172 176
10 106 185
11 11 26
12 159 90
13 118 172
14 76 271
15 36 243
16 110 273
17 80 1
18 114 58
19 110 284
20 195 99
21 66 100
22 187 281
23 142 184
24 150 85
25 99 99
26 140 1
27 151 256
28 139 79
29 108 198
30 109 202
31 157 225
32 45 265
33 16 271
34 146 47
35 190 90
36 18 170
37 56 31
38 39 55
39 141 220
40 33 142
41 30 8
42 136 136
43 121 1
44 70 35
45 62 285
46 109 52
47 185 48
48 89 32
49 109 184
50 2 88
51 32 43
52 85 118
53 171 72
54 169 154
55 157 114
56 165 220
57 166 114
58 158 20
59 89 104
60 173 252
61 146 60
62 83 174
63 199 56
64 51 46
65 23 147
66 154 136
67 185 29
68 53 6
69 177 251
70 100 250
71 173 172
72 178 246
73 39 120
74 189 227
75 126 298
76 177 130
77 183 3
78 75 181
79 71 290
80 188 83
81 163 174
82 178 121
83 105 179
84 69 247
85 60 259
86 60 59
87 167 98
88 115 172
89 118 198
90 70 292
91 9 177
92 74 119
93 78 27
94 123 112
95 99 225
96 86 80
97 27 232
98 200 158
99 152 222

Data set #22
0 167 1
1 42 170
2 99 238
3 157 66
4 118 109
5 129 70
6 116 167
7 33 12
8 182 12
9 117 268
10 25 292
11 19 221
12 19 62
13 134 204
14 38 160
15 198 90
16 180 212
17 77 59
18 132 52
19 85 54
20 51 169
21 122 137
22 137 98
23 182 150
24 141 91
25 141 138
26 173 244
27 108 232
28 151 49
29 127 5
30 171 135
31 114 240
32 11 249
33 129 218
34 184 179
35 196 135
36 69 89
37 73 56
38 148 160
39 92 279
40 196 12
41 36 260
42 151 23
43 49 90
44 96 256
45 54 132
46 58 253
47 23 48
48 101 150
49 7 7
50 50 104
51 41 287
52 176 41
53 8 88
54 71 233
55 24 115
56 40 260
57 18 187
58 125 153
59 38 251
60 126 118
61 198 148
62 61 119
63 98 84
64 159 94
65 30 11
66 120 144
67 162 117
68 186 203
69 118 149
70 166 71
71 28 231
72 150 57
73 110 151
74 18 105
75 100 228
76 153 116
77 81 118
78 105 240
79 84 144
80 38 85
81 147 207
82 183 8
83 166 98
84 32 55
85 93 20
86 135 282
87 155 80
88 12 71
89 64 100
90 112 93
91 33 111
92 21 1
93 32 60
94 80 22
95 161 299
96 166 1
97 137 270
98 124 288
99 132 295

Data set #23
0 118 225
1 47 146
2 117 167
3 1 112
4 41 299
5 196 279
6 65 5
7 174 199
8 101 105
9 70 259
10 73 166
11 64 135
12 121 218
13 87 27
14 186 21
15 178 25
16 187 117
17 70 230
18 86 82
19 194 225
20 50 206
21 9 221
22 67 132
23 138 26
24 139 279
25 162 226
26 130 159
27 144 136
28 124 34
29 178 206
30 46 112
31 150 194
32 23 4
33 176 262
34 97 100
35 87 290
36 191 300
37 52 122
38 70 137
39 55 179
40 120 181
41 185 277
42 11 261
43 114 41
44 43 75
45 151 6
46 168 21
47 2 104
48 59 237
49 105 230
50 144 229
51 5 270
52 31 76
53 121 296
54 80 18
55 171 224
56 50 150
57 145 206
58 82 232
59 23 299
60 41 39
61 92 163
62 42 257
63 127 287
64 42 140
65 76 58
66 89 244
67 50 118
68 182 144
69 174 205
70 142 78
71 119 170
72 166 273
73 175 278
74 100 6
75 198 85
76 143 251
77 176 124
78 80 137
79 30 254
80 24 109
81 171 39
82 2 262
83 178 294
84 139 73
85 182 219
86 172 151
87 161 31
88 121 103
89 58 94
90 36 46
91 58 129
92 117 263
93 125 109
94 165 297
95 136 194
96 64 59
97 72 30
98 51 118
99 94 2

Data set #24
0 139 125
1 37 177
2 126 25
3 14 29
